sr_no,batsman,innings,runs,balls,highest,average,strike_rate,fours,sixes,50s,100s,no_of_dismissals
16,A Ashish Reddy,23,280,196,36,19,143,16,15,0,0,15
17,A Chandila,2,4,7,4,0,57,0,0,0,0,0
18,A Chopra,6,53,75,24,9,71,7,0,0,0,6
19,A Choudhary,3,25,20,15,5,125,1,1,0,0,5
20,A Dananjaya,1,4,5,4,0,80,0,0,0,0,0
21,A Flintoff,3,62,57,24,31,109,5,2,0,0,2
22,A Hales,6,152,119,48,25,128,13,6,0,0,6
23,A Joseph,1,15,13,15,0,115,2,0,0,0,0
24,A Kumble,15,35,49,8,0,71,3,0,0,0,0
25,A Mishra,54,368,410,31,12,90,30,5,0,0,31
26,A Mithun,6,34,26,11,7,131,4,1,0,0,5
27,A Mukund,2,19,23,19,10,83,1,0,0,0,2
28,A Nehra,17,41,63,22,0,65,3,1,0,0,0
29,A Singh,5,2,10,1,1,20,0,0,0,0,4
30,A Symonds,36,974,781,117,36,125,74,41,6,1,27
31,A Turner,4,4,11,3,1,36,0,0,0,0,3
32,A Uniyal,2,4,7,4,4,57,0,0,0,0,1
33,A Zampa,2,5,8,5,3,63,1,0,0,0,2
34,AA Bilakhia,7,69,88,22,14,78,5,0,0,0,5
35,AA Chavan,3,12,11,7,0,109,2,0,0,0,0
36,AA Jhunjhunwala,15,217,218,53,17,100,19,5,1,0,13
37,AA Noffke,1,9,12,9,9,75,1,0,0,0,1
38,AB Agarkar,18,179,160,39,18,112,13,5,0,0,10
39,AB Barath,3,42,43,33,21,98,5,1,0,0,2
40,AB de Villiers,142,4428,2977,133,40,149,357,214,37,3,110
41,AB Dinda,16,26,50,7,3,52,2,0,0,0,10
42,AB McDonald,9,123,103,33,25,119,9,4,0,0,5
43,Abdur Razzak,1,0,2,0,0,0,0,0,0,0,0
44,AC Blizzard,7,120,91,51,17,132,21,2,1,0,7
45,AC Gilchrist,80,2069,1555,109,27,133,239,92,13,2,76
46,AC Thomas,4,20,19,12,10,105,1,1,0,0,2
47,AC Voges,7,181,143,45,45,127,15,3,0,0,4
48,AD Mascarenhas,11,79,79,27,9,100,5,1,0,0,9
49,AD Mathews,41,724,599,65,23,121,44,29,1,0,31
50,AD Nath,10,91,99,24,9,92,7,2,0,0,10
51,AD Russell,52,1445,803,89,34,180,98,119,11,0,42
52,AF Milne,3,7,12,5,4,58,0,0,0,0,2
53,AG Murtaza,3,10,14,5,10,71,1,0,0,0,1
54,AG Paunikar,5,49,61,20,10,80,9,0,0,0,5
55,AJ Finch,73,1744,1372,88,26,127,176,67,13,0,67
56,AJ Tye,12,94,72,25,12,131,7,4,0,0,8
57,AL Menaria,23,401,367,40,19,109,24,18,0,0,21
58,AM Nayar,50,672,588,45,18,114,55,20,0,0,38
59,AM Rahane,132,3850,3215,108,33,120,405,74,29,2,116
60,AN Ahmed,6,36,27,18,36,133,4,1,0,0,1
61,AN Ghosh,2,7,8,7,4,88,1,0,0,0,2
62,Anirudh Singh,4,63,69,40,16,91,6,1,0,0,4
63,Ankit Sharma,16,164,114,47,16,144,11,9,0,0,10
64,Ankit Soni,3,7,9,7,4,78,1,1,0,0,2
65,Anureet Singh,8,37,47,15,9,79,2,1,0,0,4
66,AP Dole,2,34,23,30,17,148,3,1,0,0,2
67,AP Majumdar,4,87,77,31,22,113,7,2,0,0,4
68,AP Tare,27,339,285,59,14,119,40,11,1,0,24
69,AR Bawne,1,12,12,12,0,100,1,0,0,0,0
70,AR Patel,62,806,655,44,19,123,47,35,0,0,42
71,AS Rajpoot,5,18,31,9,5,58,2,0,0,0,4
72,AS Raut,16,194,172,36,22,113,13,7,0,0,9
73,AS Yadav,35,1011,760,76,32,133,113,28,6,0,32
74,AT Rayudu,138,3326,2681,100,29,124,278,120,20,1,115
75,AUK Pathan,7,39,26,14,8,150,5,2,0,0,5
76,Avesh Khan,1,4,3,4,0,133,1,0,0,0,0
77,Azhar Mahmood,21,388,311,80,20,125,39,13,2,0,19
78,B Akhil,11,76,57,27,13,133,5,5,0,0,6
79,B Chipli,21,280,256,61,19,109,28,7,1,0,15
80,B Kumar,41,190,197,24,8,96,18,3,0,0,24
81,B Laughlin,4,5,13,4,3,38,0,0,0,0,2
82,B Lee,19,124,102,25,12,122,8,8,0,0,10
83,B Stanlake,1,5,2,5,0,250,1,0,0,0,0
84,B Sumanth,4,35,38,16,35,92,3,0,0,0,1
85,BA Bhatt,2,6,7,6,0,86,1,1,0,0,0
86,BA Stokes,32,647,493,103,23,131,43,25,2,1,28
87,Basil Thampi,7,32,37,13,32,86,1,1,0,0,1
88,BAW Mendis,3,3,6,2,2,50,0,0,0,0,2
89,BB McCullum,109,2893,2272,158,28,127,293,129,15,2,104
90,BB Samantray,8,125,116,55,25,108,13,2,1,0,5
91,BB Sran,7,11,14,3,11,79,0,0,0,0,1
92,BCJ Cutting,17,240,146,39,22,164,15,19,0,0,11
93,BE Hendricks,2,1,3,1,1,33,0,0,0,0,1
94,Bipul Sharma,17,187,124,35,23,151,11,9,0,0,8
95,BJ Haddin,1,18,11,18,18,164,2,1,0,0,1
96,BJ Hodge,63,1400,1153,73,0,121,122,43,6,0,0
97,BJ Rohrer,8,193,146,64,28,132,21,5,1,0,7
98,BMAJ Mendis,3,23,27,12,8,85,0,0,0,0,3
99,BR Dunk,3,40,36,20,13,111,7,0,0,0,3
100,C de Grandhomme,21,313,229,41,21,137,18,17,0,0,15
101,C Ingram,12,187,157,47,19,119,20,5,0,0,10
102,C Madan,1,15,21,15,15,71,3,0,0,0,1
103,C Munro,11,180,144,42,0,125,19,8,0,0,0
104,C Nanda,1,0,1,0,0,0,0,0,0,0,1
105,CA Ingram,3,21,26,13,11,81,2,0,0,0,2
106,CA Lynn,41,1308,939,93,34,139,128,62,10,0,38
107,CA Pujara,22,390,403,51,21,97,50,4,1,0,19
108,CH Gayle,124,4560,3131,175,42,146,376,327,35,7,109
109,CH Morris,37,520,339,82,27,153,37,27,2,0,19
110,CJ Anderson,29,538,436,95,24,123,40,31,3,0,22
111,CJ Ferguson,8,98,119,23,16,82,9,0,0,0,6
112,CJ Jordan,2,3,5,3,2,60,0,0,0,0,2
113,CJ McKay,1,8,15,8,8,53,0,0,0,0,1
114,CK Kapugedera,3,16,24,8,5,67,0,0,0,0,3
115,CK Langeveldt,2,8,9,8,4,89,1,1,0,0,2
116,CL White,45,971,774,78,27,125,76,38,6,0,36
117,CM Gautam,13,169,158,33,17,107,17,6,0,0,10
118,CR Brathwaite,14,188,120,47,14,157,10,16,0,0,13
119,CR Woakes,11,63,66,18,11,95,5,2,0,0,6
120,CRD Fernando,2,4,3,2,1,133,0,0,0,0,7
121,D du Preez,1,10,13,10,10,77,0,0,0,0,1
122,D Kalyankrishna,1,3,8,3,3,38,0,0,0,0,1
123,D Salunkhe,3,33,24,26,0,138,5,0,0,0,0
124,D Shorey,2,16,20,8,8,80,1,1,0,0,2
125,D Short,7,123,102,45,18,121,11,5,0,0,7
126,D Wiese,8,127,94,47,64,135,12,4,0,0,2
127,DA Miller,77,1875,1376,101,34,136,127,87,11,1,55
128,DA Warner,126,4741,3398,126,43,140,459,181,48,4,109
129,DAJ Bracewell,1,12,9,12,0,133,1,0,0,0,0
130,DB Das,22,304,267,35,22,114,23,16,0,0,14
131,DB Ravi Teja,25,375,325,60,20,115,35,9,1,0,19
132,DE Bollinger,4,21,23,16,21,91,1,1,0,0,1
133,DH Yagnik,17,170,142,34,17,120,23,2,0,0,10
134,DJ Bravo,99,1498,1193,70,23,126,118,60,5,0,64
135,DJ Harris,4,111,103,47,28,108,11,5,0,0,4
136,DJ Hooda,45,535,431,54,15,124,27,24,1,0,35
137,DJ Hussey,61,1322,1101,71,27,120,90,60,5,0,49
138,DJ Jacobs,7,92,101,32,13,91,10,4,0,0,7
139,DJ Muthuswami,1,1,3,1,1,33,0,0,0,0,1
140,DJ Thornely,4,39,54,30,13,72,2,2,0,0,3
141,DJG Sammy,20,295,251,60,20,118,15,18,1,0,15
142,DL Chahar,7,73,46,40,12,159,2,6,0,0,6
143,DL Vettori,16,121,118,29,15,103,11,2,0,0,8
144,DM Bravo,1,6,5,6,0,120,1,0,0,0,0
145,DNT Zoysa,2,11,9,10,11,122,1,0,0,0,1
146,DP Nannes,2,4,13,3,4,31,0,0,0,0,1
147,DP Vijaykumar,1,1,1,1,0,100,0,0,0,0,0
148,DPMD Jayawardene,78,1808,1522,110,28,119,200,40,11,1,64
149,DR Martyn,1,19,26,19,19,73,1,0,0,0,1
150,DR Smith,88,2385,1803,87,28,132,245,117,17,0,84
151,DS Kulkarni,19,101,111,28,11,91,7,2,0,0,9
152,DS Lehmann,2,18,19,17,9,95,3,0,0,0,2
153,DT Christian,34,448,384,39,18,117,22,19,0,0,25
154,DT Patil,2,13,13,9,0,100,1,0,0,0,0
155,DW Steyn,32,166,161,19,8,103,14,3,0,0,22
156,E Lewis,16,464,343,75,29,135,38,26,4,0,16
157,EJG Morgan,45,854,725,66,21,118,72,34,4,0,40
158,ER Dwivedi,2,24,15,19,12,160,2,2,0,0,2
159,F Behardien,3,14,13,9,7,108,2,0,0,0,2
160,F du Plessis,64,1874,1499,96,32,125,164,59,12,0,59
161,FH Edwards,2,4,5,3,4,80,0,0,0,0,1
162,FY Fazal,11,183,179,45,18,102,22,1,0,0,10
163,G Gambhir,151,4223,3524,93,31,120,492,59,36,0,136
