sr_no,bowler,innings,balls,overs,runs,wickets,maiden,average,economy,strike_rate,4W_haul,5W_haul
1,A Ashish Reddy,20,270,45,400,18,0,22,9,15,0,0
2,A Chandila,12,234,39,245,11,0,22,6,21,1,0
3,A Choudhary,5,108,18,144,5,2,29,8,22,0,0
4,A Dananjaya,1,25,4,48,0,0,0,12,0,0,0
5,A Flintoff,3,66,11,106,2,0,53,10,33,0,0
6,A Joseph,3,55,9,94,6,1,16,10,9,0,1
7,A Kumble,42,983,164,1089,45,3,24,7,22,2,1
8,A Mishra,147,3172,529,3850,156,4,25,7,20,3,1
9,A Mithun,16,312,52,477,7,0,68,9,45,0,0
10,A Nehra,88,1974,329,2537,106,2,24,8,19,1,0
11,A Nel,1,18,3,31,1,0,31,10,18,0,0
12,A Roy,1,15,3,14,1,0,14,5,15,0,0
13,A Singh,26,551,92,769,31,1,25,8,18,1,0
14,A Symonds,30,540,90,694,20,0,35,8,27,0,0
15,A Uniyal,2,38,6,67,2,0,34,11,19,0,0
16,A Zampa,11,225,38,281,19,0,15,7,12,0,1
17,AA Chavan,13,255,43,339,8,0,42,8,32,0,0
18,AA Jhunjhunwala,10,88,15,130,1,0,130,9,88,0,0
19,AA Kazi,1,13,2,21,0,0,0,11,0,0,0
20,AA Noffke,1,25,4,41,1,0,41,10,25,0,0
21,AB Agarkar,42,820,137,1174,29,1,40,9,28,0,0
22,AB Dinda,75,1589,265,2103,69,2,30,8,23,1,0
23,AB McDonald,10,188,31,263,11,0,24,8,17,0,0
24,Abdur Razzak,1,14,2,29,0,0,0,15,0,0,0
25,AC Gilchrist,1,1,0,0,1,1,0,0,1,0,0
26,AC Thomas,15,327,55,416,14,2,30,8,23,0,0
27,AC Voges,7,56,9,76,0,0,0,8,0,0,0
28,AD Mascarenhas,13,310,52,365,19,0,19,7,16,0,1
29,AD Mathews,44,807,135,1095,27,0,41,8,30,1,0
30,AD Russell,61,1072,179,1584,55,0,29,9,19,1,0
31,AF Milne,5,115,19,185,4,0,46,10,29,0,0
32,AG Murtaza,12,269,45,322,9,0,36,7,30,0,0
33,AJ Finch,5,44,7,67,1,0,67,10,44,0,0
34,AJ Tye,26,618,103,871,39,0,22,8,16,3,1
35,AL Menaria,12,113,19,144,3,0,48,8,38,0,0
36,AM Nayar,19,239,40,323,9,0,36,8,27,0,0
37,AM Rahane,1,6,1,5,1,0,5,5,6,0,0
38,AM Salvi,7,156,26,205,7,0,29,8,22,0,0
39,AN Ahmed,17,362,60,515,12,0,43,9,30,0,0
40,Anand Rajan,8,162,27,206,8,0,26,8,20,0,0
