sr_no,season,stadium_name,city,matches_played,matches_won_bating_1st,matches_won_bating_2nd,win_percentage_batting_first,win_percentage_batting_second,1st_innings_avg_score,2nd_innings_avg_score,significance_of_toss
1,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,6,2,75,25,165,151,38
2,2017,Maharashtra Cricket Association Stadium,Pune,7,2,5,29,71,163,143,71
3,2017,Saurashtra Cricket Association Stadium,Rajkot,5,2,3,40,60,182,173,40
4,2017,Holkar Cricket Stadium,Indore,3,1,3,33,100,170,171,67
5,2017,M Chinnaswamy Stadium,Bangalore,8,3,5,38,63,141,124,75
6,2017,Wankhede Stadium,Mumbai,8,4,4,50,50,171,166,38
7,2017,Eden Gardens,Kolkata,7,3,4,43,57,164,149,57
8,2017,Feroz Shah Kotla,Delhi,7,4,3,57,43,184,155,71
9,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,4,2,2,50,50,158,149,50
10,2017,Green Park,Kanpur,2,0,2,0,100,175,178,100
11,2008,M Chinnaswamy Stadium,Bangalore,8,3,5,38,63,141,124,75
12,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,7,4,3,57,43,185,165,43
13,2008,Feroz Shah Kotla,Delhi,7,4,3,57,43,184,155,71
14,2008,Wankhede Stadium,Mumbai,8,4,4,50,50,171,166,38
15,2008,Eden Gardens,Kolkata,7,3,4,43,57,164,149,57
16,2008,Sawai Mansingh Stadium,Jaipur,7,2,5,29,71,158,144,57
17,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,6,2,75,25,165,151,38
18,2008,"MA Chidambaram Stadium, Chepauk",Chennai,7,4,3,57,43,169,164,43
19,2008,Dr DY Patil Sports Academy,Mumbai,4,1,3,25,75,146,139,75
20,2009,Newlands,Cape Town,7,5,2,71,29,139,113,57
21,2009,St George's Park,Port Elizabeth,7,3,4,43,57,159,131,43
22,2009,Kingsmead,Durban,15,8,7,53,47,152,138,60
23,2009,SuperSport Park,Centurion,12,4,8,33,67,155,150,67
24,2009,Buffalo Park,East London,3,2,1,67,33,147,119,67
25,2009,New Wanderers Stadium,Johannesburg,8,3,5,38,63,144,143,38
26,2009,De Beers Diamond Oval,Kimberley,3,1,2,33,67,158,141,67
27,2009,OUTsurance Oval,Bloemfontein,2,1,1,50,50,135,130,100
28,2010,Dr DY Patil Sports Academy,Mumbai,4,1,3,25,75,146,139,75
29,2010,Brabourne Stadium,Mumbai,7,3,4,43,57,175,160,71
30,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,7,4,3,57,43,185,165,43
31,2010,Eden Gardens,Kolkata,7,3,4,43,57,164,149,57
32,2010,"MA Chidambaram Stadium, Chepauk",Chennai,7,4,3,57,43,169,164,43
33,2010,"Sardar Patel Stadium, Motera",Ahmedabad,4,2,2,50,50,159,147,75
34,2010,M Chinnaswamy Stadium,Bangalore,8,3,5,38,63,141,124,75
35,2010,Feroz Shah Kotla,Delhi,7,4,3,57,43,184,155,71
36,2010,Barabati Stadium,Cuttack,2,2,1,100,50,171,163,50
37,2010,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,2,1,67,33,149,145,33
38,2010,Sawai Mansingh Stadium,Jaipur,7,2,5,29,71,158,144,57
39,2010,Himachal Pradesh Cricket Association Stadium,Dharamsala,2,3,2,150,100,183,187,100
40,2011,"MA Chidambaram Stadium, Chepauk",Chennai,7,4,3,57,43,169,164,43
41,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,6,2,75,25,165,151,38
42,2011,Nehru Stadium,Kochi,5,3,2,60,40,147,126,40
43,2011,Feroz Shah Kotla,Delhi,7,4,3,57,43,184,155,71
44,2011,Dr DY Patil Sports Academy,Mumbai,4,1,3,25,75,146,139,75
45,2011,Eden Gardens,Kolkata,7,3,4,43,57,164,149,57
46,2011,Sawai Mansingh Stadium,Jaipur,7,2,5,29,71,158,144,57
47,2011,M Chinnaswamy Stadium,Bangalore,8,3,5,38,63,141,124,75
48,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,7,4,3,57,43,185,165,43
49,2011,Wankhede Stadium,Mumbai,8,4,4,50,50,171,166,38
50,2011,Holkar Cricket Stadium,Indore,3,1,3,33,100,170,171,67
51,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,2,3,2,150,100,183,187,100
52,2012,"MA Chidambaram Stadium, Chepauk",Chennai,7,4,3,57,43,169,164,43
53,2012,Eden Gardens,Kolkata,7,3,4,43,57,164,149,57
54,2012,Wankhede Stadium,Mumbai,8,4,4,50,50,171,166,38
55,2012,Sawai Mansingh Stadium,Jaipur,7,2,5,29,71,158,144,57
56,2012,M Chinnaswamy Stadium,Bangalore,8,3,5,38,63,141,124,75
57,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2,1,1,50,50,166,131,100
